,shop_name,rating,numbers_of_rating,price,shop_type,key_words,address,reviews
0,Elixir Bunn Coffee ,4.3,218,0,cafe,none,"King Abdullah Rd, حي الحمراء، Riyadh 13215","['Amazing new branch for my favorite coffee house and roaster. Latter and Cortado is highly recommended and check their daily coffee 👍  ', ""I like the fact that they are different from other cafes. They don't cater to those who drink cold sweeted coffee which is a good thing for those who appreciate real coffee drinks. Nice staff and nice cookies also"", 'Whenever I’m headed to work and feel the urge to have an excellent cup of coffee in the morning for sure Elixir Bunn is gonna be my 1st choice.']"
1,Chamonix Cafe,4.0,563,3,coffee shop,"Late-night food, Breakfast, Outdoor seating","9259 Wadi Al Awsat, Al nbsp;2430, Riyadh","['Its really romantic and lovely place with good food and drinks. You can relax and enjoy there. Its named by little city in France Chamonix, which is really amazing. It is located under the Alps. All paints from cafe are inspired by that little city.', 'Nice food and coffee, friendly staff, reasonable prices.', 'a come place & great service.the staff are nice.']"
2,dr.CAFE COFFEE,4.1,1571,2,coffee shop,"Cosy, Casual, Vegetarian options","As Sulimaniyah, Khurais Road Abi Al Arab Street,, Riyadh 11566","[""Sandwich wasn't tasty and it was expensive. We brought three sandwiches and all three were meh. No condiments. No cheese.melt. great ambience.to.hang out though. Cheesecake was good."", 'Very nice place to meet with friends, with coworkers, have multiple seat types and sizes, very comfortable decorations.', 'It is one of the biggest coffee shop in the world located on khurais road Riyadh It has variety of hot & cold coffee plus nice cakes …MoreIt is one of the biggest coffee shop in the world located on khurais road Riyadh It has variety of hot & cold coffee plus nice cakesThey serve a hot drink called ginger, it is good during cold weather or a person having cold']"
3,The Shaky,3.9,52,0,coffee shop,"Cosy, Casual, Groups","لوكاليزر مول بوابة رقم 7 طريق الأمير محمد بن عبدالعزيز، العليا، الرياض 12222 Localizer Mall gate #7 Prince MUhammad Ibn Abdulaziz Rd, Al Olaya, Riyadh 12222","['Nice place', ""It's delicious you can build your own milkshake"", '(Translated by Google) ExcellentBut I expect the small size chiki is enough for one person …More(Translated by Google) ExcellentBut I expect the small size chiki is enough for one person(Original)ممتاز لكن اتوقع الشيكي الحجم الصغير كافي لشخص واحد']"
4,قرمز كافيه - قهوة مختصة,4.1,956,2,coffee shop,"Cosy, Casual, Groups",2659 Dammam Branch Road Al Yarmuk Riyadh 13243 8015,"['This coffee shop is a two story shop with a spacious sitting area for both family and single section. I like the interior and kind a touch of art on the walls. The cap I ordered was nice and service is good.', 'The most amazing place I’ve been in, this is my hidden gem, I went there for 100s times, the workers are very friendly and welcoming, the prices are good, the vipes is fantastic. You deserve a good experience, go there.', 'The atmosphere is not nice at all. But the coffee is good.']"
5,Onza Cafee,4.0,179,2,coffee shop,none,"King Abdullah Branch Rd, King Fahd, Riyadh near hyper panda, Riyadh, Al Khaleej, Riyadh 12272","['Best Arabic coffee 👌', 'Very delicious  arabic food', 'Bad coffee. Rude staff.']"
6,Brew Crew,4.4,1186,2,coffee shop,"Cosy, Casual, Groups","Nahr An Nil, Riyadh 12483","['Such a beautiful place to have a cup of coffee or latte or cortado. Different verity of desserts. Prices are kind of reasonable. I’d come back here 100%', 'Great place and coffee. Their flat white was on point . Different options of dessert . …MoreGreat place and coffee. Their flat white was on point . Different options of dessert .My favorite morning spot.', 'My sister & I stopped by to get some coffee.. I ordered Spanish & flat white,. The gentleman recommends me to try he sweet and it’s very good.. I will come again..']"
7,Elixir Bunn Coffee Roasters,4.2,2462,2,coffee shop,"Breakfast, Cosy, Casual","Salim Ibn Maqil, حي النخيل شارع، Riyadh","['I’ve been in many coffee shops in Riyadh, this is one of the best. The service is quick even with a crowded \u200f customers. The coffee here is delicious and tasty. Loved the taste of the espresso shot. We tried the latte and espresso. Both are …MoreI’ve been in many coffee shops in Riyadh, this is one of the best. The service is quick even with a crowded \u200f customers. The coffee here is delicious and tasty. Loved the taste of the espresso shot. We tried the latte and espresso. Both are great. The have a great indoor seating. I do this cafe to all. Best to visit it during the day time', 'I think their staff needs to be trained in how to deal with customers and they need intensive training, but it is helpful to them that the coffee is good and the place is quiet.', 'One of best specialty coffee shops and micro roasteries in Riyadh. The drip coffee is well prepared here. Espresso is highly recommende. My only concern is the very loud music played here. Coffee deserves a quite atmosphere or at least a …MoreOne of best specialty coffee shops and micro roasteries in Riyadh. The drip coffee is well prepared here. Espresso is highly recommende. My only concern is the very loud music played here. Coffee deserves a quite atmosphere or at least a good taste of music. The very very loud music played here ruins my coffee and time here. At the end of the day it is a coffee house and not a dance floor.']"
8,Coffe Day,4.1,130,2,coffee shop,"Cosy, Casual, Groups","3314 No. 38, Riyadh 12212 7390","[""It's permanently closed now since June 19"", 'Usually come to this branch great service good location in downtown', 'No more coffee day closed']"
9,Colony Coffee,3.7,229,2,coffee shop,"Cosy, Casual, Groups","Prince Sultan Bin Salman Bin Abdulaziz St, Riyadh 12253","['This was our first visit to colony coffee. But it will not be last.the coffee was fantastic.... everything was fresh and prepared with great care.', 'It changed a lot', 'quite , clean , good coffee , perfect for studying , writing and reading.']"
